,Player,SAVID,FGID,Team,Level,Age,K%,BB%,Brl%,Solid%,Flare%,Under%,Topped%,Weak%,BrlHR,Brl3B,Brl2B,Brl1B,BrlBABIP,BrlOut,SolidHR,Solid3B,Solid2B,Solid1B,SolidBABIP,SolidOut,FlareHR,Flare3B,Flare2B,Flare1B,FlareBABIP,FlareOut,UnderHR,Under3B,Under2B,Under1B,UnderBABIP,UnderOut,ToppedHR,Topped3B,Topped2B,Topped1B,ToppedBABIP,ToppedOut,WeakHR,Weak3B,Weak2B,Weak1B,WeakBABIP,WeakOut,SBAtt%,SBSuccess%,PPA,HBPRate,SplitK_R,SplitK_L,SplitBB_R,SplitBB_L,SplitBrl_R,SplitBrl_L,SplitSolid_R,SplitSolid_L,SplitFlare_R,SplitFlare_L,SplitTopped_R,SplitTopped_L,SplitUnder_R,SplitUnder_L,SplitWeak_R,SplitWeak_L
0,Taylor Ward,621493,17548,LAA,MLB,31.3,0.232,0.095,0.118,0.064,0.231,0.289,0.277,0.021,0.457,0.027,0.216,0.006,0.706,0.29400000000000004,0.069,0.016,0.207,0.115,0.407,0.593,0.0,0.005,0.096,0.566,0.667,0.33299999999999996,0.006,0.002,0.025,0.032,0.065,0.935,0.0,0.0,0.018,0.16,0.178,0.8220000000000001,0.0,0.0,0.002,0.185,0.187,0.813,0.07238215962441315,0.6736842105263158,4.0,0.013785790031813362,1.04,0.8965,0.9415,1.0150000000000001,1.034,0.9855,1.0605,0.8935,0.961,1.0905,0.9964999999999999,1.006,1.018,0.9550000000000001,0.9339999999999999,1.049
1,Nolan Schanuel,694384,33189,LAA,MLB,23.1,0.167,0.115,0.044,0.044,0.299,0.224,0.348,0.041,0.5,0.0,0.2,0.0,0.7,0.30000000000000004,0.078,0.019,0.22,0.116,0.433,0.567,0.0,0.005,0.087,0.571,0.663,0.33699999999999997,0.005,0.002,0.026,0.025,0.058,0.942,0.0,0.0,0.008,0.141,0.149,0.851,0.0,0.0,0.002,0.115,0.117,0.883,0.08731054852320674,0.8250000000000001,3.861003861003861,0.01589242053789731,0.968,1.047,1.129,0.982,1.06,0.821,1.071,0.854,1.019,0.977,0.94,1.093,1.06,0.92,0.821,1.374
2,Mike Trout,545361,10155,LAA,MLB,33.7,0.272,0.118,0.161,0.064,0.244,0.291,0.192,0.047,0.605,0.038,0.147,0.002,0.792,0.20799999999999996,0.075,0.016,0.213,0.12,0.424,0.5760000000000001,0.0,0.007,0.097,0.547,0.651,0.349,0.005,0.004,0.03,0.034,0.073,0.927,0.0,0.0,0.015,0.177,0.192,0.808,0.0,0.001,0.002,0.222,0.225,0.775,0.11175402298850574,0.8136363636363637,4.3383947939262475,0.018404907975460124,1.0265,0.935,0.9245,1.0645,1.0645,0.8975,1.0659999999999998,0.8725,0.9595,1.0985,0.97,1.081,1.006,0.9864999999999999,0.9275,1.073
3,Jorge Soler,624585,14221,LAA,MLB,33.1,0.252,0.114,0.138,0.077,0.215,0.275,0.256,0.039,0.523,0.0,0.199,0.028,0.749,0.251,0.082,0.016,0.229,0.125,0.452,0.548,0.0,0.007,0.091,0.55,0.648,0.352,0.006,0.002,0.024,0.026,0.058,0.942,0.0,0.0,0.012,0.117,0.129,0.871,0.0,0.0,0.002,0.129,0.131,0.869,0.027840201005025128,0.95,4.149377593360996,0.011280039234919078,1.016,0.966,0.914,1.0979999999999999,0.9505,1.2315,0.9884999999999999,1.0945,1.0095,0.9535,1.044,0.864,0.9764999999999999,1.074,1.0154999999999998,0.8175
4,Yoan Moncada,660162,17232,LAA,MLB,29.9,0.294,0.067,0.088,0.068,0.261,0.239,0.315,0.029,0.377,0.004,0.321,0.042,0.744,0.256,0.079,0.016,0.225,0.118,0.438,0.562,0.0,0.007,0.098,0.567,0.672,0.32799999999999996,0.005,0.004,0.033,0.028,0.07,0.9299999999999999,0.0,0.0,0.021,0.141,0.162,0.838,0.0,0.0,0.027,0.131,0.158,0.842,0.06551428571428572,0.8,3.9292730844793713,0.011553273427471117,0.963,1.0545,1.081,0.9395,1.0625,0.929,1.049,0.9775,1.004,1.0314999999999999,0.9484999999999999,1.057,1.0630000000000002,0.8915,0.843,1.173
5,Logan O'Hoppe,681351,24729,LAA,MLB,25.2,0.283,0.064,0.131,0.067,0.249,0.248,0.272,0.033,0.524,0.0,0.133,0.04,0.698,0.30200000000000005,0.065,0.024,0.198,0.147,0.434,0.5660000000000001,0.0,0.005,0.086,0.556,0.647,0.353,0.007,0.002,0.032,0.027,0.068,0.9319999999999999,0.0,0.0,0.005,0.156,0.161,0.839,0.0,0.0,0.0,0.141,0.141,0.859,0.057133333333333335,0.48125,3.787878787878788,0.01939924906132666,1.021,0.964,0.896,0.994,1.02,1.099,1.021,1.054,0.981,1.023,1.015,0.952,0.992,1.028,0.964,0.841
6,Luis Rengifo,650859,19858,LAA,MLB,28.1,0.16,0.071,0.044,0.052,0.262,0.228,0.387,0.027,0.626,0.005,0.11,0.0,0.741,0.259,0.072,0.023,0.229,0.102,0.426,0.5740000000000001,0.0,0.008,0.09,0.562,0.66,0.33999999999999997,0.007,0.002,0.027,0.036,0.072,0.928,0.0,0.002,0.015,0.173,0.19,0.81,0.0,0.0,0.009,0.133,0.142,0.858,0.2583964912280702,0.7625,3.616636528028933,0.011758118701007838,1.0015,0.9375,1.0899999999999999,0.933,0.9345000000000001,1.2814999999999999,1.0145,1.078,1.021,0.984,0.9854999999999999,0.938,1.026,1.0234999999999999,0.8965,0.955
7,Jo Adell,666176,20220,LAA,MLB,26.0,0.294,0.075,0.102,0.057,0.207,0.273,0.314,0.048,0.523,0.011,0.201,0.0,0.736,0.264,0.069,0.029,0.232,0.131,0.461,0.5389999999999999,0.0,0.018,0.099,0.556,0.673,0.32699999999999996,0.005,0.002,0.02,0.033,0.06,0.94,0.0,0.0,0.015,0.151,0.166,0.834,0.0,0.0,0.002,0.199,0.201,0.7989999999999999,0.2598,0.7425531914893617,4.065040650406504,0.01566871852266368,1.036,0.9199999999999999,1.022,0.8195,0.9615,1.149,1.0219999999999998,1.0030000000000001,0.978,1.0375,1.0295,0.9305,0.983,1.041,1.0135,0.856
8,Kevin Newman,621028,17696,LAA,MLB,31.7,0.145,0.054,0.018,0.037,0.287,0.252,0.352,0.054,0.5,0.0,0.2,0.0,0.7,0.30000000000000004,0.068,0.021,0.244,0.097,0.43,0.5700000000000001,0.0,0.006,0.107,0.538,0.651,0.349,0.007,0.003,0.026,0.026,0.062,0.938,0.0,0.0,0.011,0.144,0.155,0.845,0.0,0.0,0.002,0.196,0.198,0.802,0.12064033613445378,0.86,3.51493848857645,0.006297229219143577,1.067,0.8825000000000001,0.9564999999999999,0.982,0.738,1.5055,0.9295,1.1625,0.9864999999999999,1.0179999999999998,1.031,0.9359999999999999,0.9784999999999999,1.0434999999999999,1.0625,0.7855
9,Travis d'Arnaud,518595,7739,LAA,MLB,36.2,0.261,0.071,0.102,0.078,0.221,0.217,0.348,0.033,0.525,0.0,0.212,0.0,0.737,0.263,0.083,0.021,0.219,0.118,0.441,0.5589999999999999,0.0,0.005,0.108,0.542,0.655,0.345,0.006,0.002,0.034,0.025,0.067,0.933,0.0,0.0,0.011,0.139,0.15,0.85,0.0,0.0,0.002,0.082,0.084,0.916,0.028221052631578945,0.95,3.9447731755424065,0.01897810218978102,1.029,0.9179999999999999,0.885,1.2165,1.0005,1.0825,1.043,0.913,0.9735,1.0699999999999998,0.994,1.0225,1.029,0.8995,0.9844999999999999,0.9115
