,Player,SAVID,FGID,Team,Level,Age,K%,BB%,Brl%,Solid%,Flare%,Under%,Topped%,Weak%,PPA,HBPRate,SplitK_R,SplitK_L,SplitBB_R,SplitBB_L,SplitBrl_R,SplitBrl_L,SplitSolid_R,SplitSolid_L,SplitFlare_R,SplitFlare_L,SplitTopped_R,SplitTopped_L,SplitUnder_R,SplitUnder_L,SplitWeak_R,SplitWeak_L
0,Yusei Kikuchi,579328,20633,LAA,MLB,33.8,0.268,0.065,0.094,0.062,0.245,0.23,0.32,0.041,3.909,0.008,0.9726666666666667,1.0436666666666665,1.0136666666666667,0.921,1.08,0.8276666666666667,1.0306666666666666,0.9233333333333333,1.023,0.9556666666666667,0.9646666666666667,1.076,1.019,0.9423333333333334,0.832,1.482
1,Jose Soriano,667755,22100,LAA,MLB,26.5,0.241,0.098,0.078,0.064,0.238,0.159,0.442,0.041,3.909,0.019,1.0376666666666665,0.9576666666666667,0.973,1.0483333333333333,1.0463333333333333,1.014,0.9236666666666666,1.1186666666666667,0.9923333333333333,1.0086666666666666,1.026,0.948,0.9833333333333333,1.0496666666666665,0.8586666666666667,0.9733333333333334
2,Jack Kochanowicz,686799,27688,LAA,MLB,24.3,0.131,0.045,0.078,0.059,0.245,0.179,0.402,0.042,3.909,0.019,1.021,0.968,0.896,1.129,1.02,1.06,1.021,1.071,0.981,1.019,1.016,0.94,0.995,1.059,0.964,0.821
3,Tyler Anderson,542881,12880,LAA,MLB,35.3,0.188,0.096,0.076,0.063,0.242,0.303,0.27,0.046,3.909,0.008,0.9823333333333333,1.0093333333333332,0.9836666666666667,1.0313333333333332,1.0696666666666665,0.8683333333333333,1.0696666666666668,0.785,1.0096666666666665,1.0046666666666666,0.952,1.1186666666666667,1.027,0.9146666666666667,0.8966666666666666,1.2396666666666667
4,Kyle Hendricks,543294,12049,LAA,MLB,35.4,0.157,0.06,0.079,0.059,0.247,0.24,0.308,0.048,3.909,0.011,1.004,0.9886666666666667,0.8243333333333334,1.1926666666666668,0.9523333333333334,1.1046666666666667,0.991,1.072,0.9836666666666667,1.0166666666666666,1.0323333333333333,0.9369999999999999,0.9676666666666667,1.07,1.086,0.764
5,Kenley Jansen,445276,3096,LAA,MLB,37.5,0.282,0.085,0.076,0.059,0.237,0.355,0.239,0.047,3.909,0.007,1.025,0.9663333333333333,0.929,1.088,0.9656666666666667,1.0903333333333334,1.0926666666666667,0.9646666666666667,1.0226666666666666,0.9756666666666666,0.924,1.0513333333333332,1.039,0.995,0.8913333333333333,0.9696666666666667
6,Ben Joyce,690829,31461,LAA,MLB,24.6,0.216,0.115,0.069,0.061,0.24,0.219,0.39,0.042,3.909,0.031,1.021,0.968,0.896,1.129,1.02,1.06,1.021,1.071,0.981,1.019,1.016,0.94,0.995,1.059,0.964,0.821
7,Ryan Zeferjahn,666171,25420,LAA,MLB,27.1,0.272,0.106,0.065,0.058,0.237,0.302,0.323,0.045,3.909,0.024,1.021,0.968,0.896,1.129,1.02,1.06,1.021,1.071,0.981,1.019,1.016,0.94,0.995,1.059,0.964,0.821
8,Brock Burke,656271,17968,LAA,MLB,28.7,0.233,0.051,0.076,0.066,0.246,0.258,0.294,0.045,3.909,0.009,0.9723333333333333,1.039,0.975,1.0326666666666666,1.0286666666666666,0.9626666666666666,1.118,0.722,0.9976666666666666,1.024,0.9393333333333334,1.125,1.0639999999999998,0.8443333333333334,0.8656666666666667,1.3116666666666668
9,Garrett McDaniels,680729,31751,LAA,MLB,25.3,0.243,0.098,0.08,0.063,0.243,0.258,0.313,0.043,3.909,0.011,0.964,1.047,0.994,0.982,1.099,0.821,1.054,0.854,1.023,0.977,0.953,1.091,1.027,0.919,0.841,1.374
