,BatterName,batter,PA_flag,AB,IsHit,PitchesThrown,SwungOn,ContactMade,IsStrikeout,IsWalk,IsHBP,IsBIP,IsGB,IsLD,IsFB,IsSingle,IsDouble,IsTriple,IsHomer,Cont%,Swing%,K%,BB%,AVG,OBP,SLG,Split,Statcast PC,Statcast BBE,GB%,LD%,FB%,SwtSpot%,Chase%,EV 90
0,A.J. Ewing,805999,2,2,0,6,1,1,1,0,0,1,0,0,0,0,0,0,0,1.0,0.16666666666666666,0.5,0.0,0.0,0.0,0.0,All,5.0,0.0,,,,,0.0,
1,A.J. Vukovich,691021,24,21,4,105,57,39,7,3,0,14,4,4,5,1,1,0,2,0.6842105263157895,0.5428571428571428,0.2916666666666667,0.125,0.19047619047619047,0.2916666666666667,0.5238095238095238,All,86.0,13.0,0.3076923076923077,0.3076923076923077,0.38461538461538464,0.46153846153846156,0.4186046511627907,104.36999999999999
2,Aaron Bracho,677570,7,7,2,27,7,6,3,0,0,4,0,1,1,1,0,0,1,0.8571428571428571,0.25925925925925924,0.42857142857142855,0.0,0.2857142857142857,0.2857142857142857,0.7142857142857143,All,26.0,3.0,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.07692307692307693,105.36
3,Aaron Judge,592450,41,33,4,175,73,42,18,7,0,16,8,1,7,2,1,0,1,0.5753424657534246,0.41714285714285715,0.43902439024390244,0.17073170731707318,0.12121212121212122,0.2682926829268293,0.24242424242424243,All,164.0,16.0,0.5,0.0625,0.4375,0.375,0.2708333333333333,106.4
4,Aaron McKeithan,702463,7,6,0,23,10,8,0,0,0,7,3,0,1,0,0,0,0,0.8,0.43478260869565216,0.0,0.0,0.0,0.0,0.0,All,12.0,4.0,0.75,0.0,0.25,0.0,0.0,84.56
5,Aaron Sabato,693306,5,5,1,12,7,6,0,0,0,5,1,1,2,1,0,0,0,0.8571428571428571,0.5833333333333334,0.0,0.0,0.2,0.2,0.2,All,12.0,5.0,0.2,0.2,0.4,0.4,0.4,96.94
6,Aaron Schunk,668845,43,41,5,145,79,58,9,2,0,32,9,6,10,4,1,0,0,0.7341772151898734,0.5448275862068965,0.20930232558139536,0.046511627906976744,0.12195121951219512,0.16279069767441862,0.14634146341463414,All,99.0,25.0,0.36,0.24,0.4,0.4,0.48,99.87
7,Aaron Zavala,701648,7,7,0,34,17,13,4,0,0,3,2,0,1,0,0,0,0,0.7647058823529411,0.5,0.5714285714285714,0.0,0.0,0.0,0.0,All,34.0,3.0,0.6666666666666666,0.0,0.3333333333333333,0.0,0.21428571428571427,96.54
8,Abimelec Ortiz,694673,15,15,6,57,31,25,3,0,0,12,6,0,4,4,1,0,1,0.8064516129032258,0.543859649122807,0.2,0.0,0.4,0.4,0.6666666666666666,All,51.0,10.0,0.6,0.0,0.4,0.1,0.391304347826087,106.29
9,Abraham Toro,647351,51,46,14,188,94,73,13,5,0,33,7,5,3,7,4,1,2,0.776595744680851,0.5,0.2549019607843137,0.09803921568627451,0.30434782608695654,0.37254901960784315,0.5652173913043478,All,107.0,17.0,0.4117647058823529,0.29411764705882354,0.17647058823529413,0.4117647058823529,0.35,100.22000000000001
