,player_name,pitcher,pitch_type,PC,%,Velo,SwStr%,Strike%,Ball%,GB%
0,A.J. Minter,621345,CH,13,0.183,86.2,0.154,0.231,0.692,1.0
1,A.J. Minter,621345,FC,28,0.394,88.7,0.179,0.536,0.393,1.0
2,A.J. Minter,621345,FF,30,0.423,94.2,0.067,0.567,0.267,0.2
3,A.J. Puk,640462,FF,44,0.564,96.2,0.205,0.614,0.273,0.2
4,A.J. Puk,640462,SI,2,0.026,95.8,0.0,0.0,1.0,
5,A.J. Puk,640462,SL,32,0.41,85.4,0.188,0.406,0.438,0.2
6,AJ Smith-Shawver,700363,CU,33,0.208,77.7,0.091,0.394,0.545,0.5
7,AJ Smith-Shawver,700363,FF,46,0.289,94.8,0.065,0.261,0.435,0.357
8,AJ Smith-Shawver,700363,FS,61,0.384,83.5,0.279,0.508,0.328,0.4
9,AJ Smith-Shawver,700363,SL,19,0.119,87.1,0.0,0.474,0.421,0.5
10,Aaron Bummer,607481,CU,7,0.13,80.8,0.286,0.714,0.286,
11,Aaron Bummer,607481,FF,11,0.204,91.8,0.0,0.636,0.182,1.0
12,Aaron Bummer,607481,SI,17,0.315,90.8,0.0,0.647,0.235,0.5
13,Aaron Bummer,607481,ST,19,0.352,81.0,0.053,0.158,0.632,0.25
14,Aaron Civale,650644,CU,7,0.103,77.4,0.0,0.571,0.429,
15,Aaron Civale,650644,FC,30,0.441,88.5,0.133,0.567,0.3,0.25
16,Aaron Civale,650644,FF,7,0.103,91.5,0.0,0.286,0.429,0.0
17,Aaron Civale,650644,FS,3,0.044,85.3,0.0,0.0,0.667,0.0
18,Aaron Civale,650644,SI,15,0.221,91.4,0.067,0.4,0.4,0.333
19,Aaron Civale,650644,ST,6,0.088,80.6,0.0,0.667,0.167,0.0
20,Aaron Nola,605400,CH,35,0.182,84.7,0.171,0.286,0.457,0.222
21,Aaron Nola,605400,CU,46,0.24,77.8,0.13,0.5,0.326,0.5
22,Aaron Nola,605400,FC,20,0.104,86.2,0.15,0.4,0.5,0.0
23,Aaron Nola,605400,FF,45,0.234,91.5,0.067,0.444,0.378,0.25
24,Aaron Nola,605400,SI,46,0.24,90.1,0.109,0.543,0.261,1.0
25,Abner Uribe,682842,SI,30,0.588,98.5,0.1,0.433,0.333,0.857
26,Abner Uribe,682842,SL,21,0.412,87.1,0.238,0.571,0.238,0.75
